districtData/0/district,blank,districtData/0/confirmed,districtData/0/deceased,districtData/0/recovered
Ahmadnagar,,42,2,23
Yavatmal,,79,0,10
Washim,,2,0,1
Solapur,,99,6,0
Sindhudurg,,2,0,1
Satara,,32,2,9
Sangli,,29,1,25
Ratnagiri,,8,1,5
Raigarh,,71,3,24
Parbhani,,2,0,1
Palghar,,169,4,46
Osmanabad,,3,0,3
Nashik,,197,12,6
Nandurbar,,11,1,0
Nanded,,3,0,0
Nagpur,,139,2,37
Latur,,12,1,8
Kolhapur,,14,0,4
Buldana,,21,1,17
Jalgaon,,40,9,1
Hingoli,,15,0,1
Gondiya,,1,0,1
Dhule,,25,3,0
Chandrapur,,2,0,2
Buldana,,21,1,17
Bid,,1,0,1
Bhandara,,1,0,0
Aurangabad,,131,7,22
Amravati,,28,7,4
Akola,,39,1,8
Ahmadnagar,,42,2,23
,,,,
,,,,
,,,,
,,,,
Mumbai,,7061,290,1092
Thane,,943,16,172
Pune,,1248,88,248
